년도,사번,Emp. Group,직무명,역할구분 (MPRS),성별
2020,30059,Executive,대표이사/사장,비대상,남
2020,32579,Manager,연구원,R,남
2020,32580,Manager,연구원,R,남
2020,32581,Manager,연구원,R,남
2020,32776,Manager,한국 Packaging TS&D 담당,R,남
2020,30060,Executive,Green Biz추진 Group장,비대상,남
2020,32599,Manager,Green Biz추진 Group담당 직무대행,S,남
2020,32602,Manager,Green Biz추진 Group담당,S,남
2020,30042,Executive,Packaging본부장,비대상,남
2020,31840,Manager,사업관리원,M,남
2020,32268,Exempt,사업관리원,M,남
2020,32273,Exempt,사업관리원,M,남
2020,32572,Manager,사업관리원,M,남
2020,32678,Exempt,사업관리원,M,남
2020,32680,Exempt,사업관리원,M,여
2020,32753,Exempt,사업관리원,M,남
2020,32762,Exempt,사업관리원,M,남
2020,31495,Manager,Packaging Biz.전략 PL,M,남
2020,31936,Manager,기획관리원,M,남
2020,32195,Manager,기획관리원,M,남
2020,32388,Exempt,기획관리원,M,남
2020,31953,Manager,시장개발원,M,남
2020,32332,Manager,시장개발원,M,남
2020,32582,Manager,Technical Marketer,R,여
2020,32592,Manager,Packaging시장개발 PL,R,남
2020,32400,Manager,F&B Market Squad PO,M,남
2020,32509,Manager,판매담당,M,남
2020,32003,Manager,판매담당,M,남
2020,32136,Manager,판매담당,M,남
2020,32595,Manager,Consumer Market Squad PO,M,남
2020,32634,Exempt,판매담당,M,남
2020,32711,Exempt,판매담당,M,남
2020,31277,Manager,판매담당,M,남
2020,31605,Manager,판매담당,M,남
2020,31801,Manager,Industrial Market Squad PO,M,남
2020,32410,Manager,판매담당,M,남
2020,31996,Manager,화학담당,M,남
2020,31806,Manager,Packaging판매원,M,남
2020,31931,Manager,화남지사장,M,남
2020,30050,Executive,SK Functional Polymer대표,비대상,남
2020,31935,Manager,생산기술기사,S,남
2020,32627,Manager,생산기술기사,P,남
2020,32690,Manager,사업기획원,S,여
2020,32760,Manager,재무/회계관리원,S,남
2020,32761,Manager,인력기획원,S,남
2020,32765,Manager,Packaging판매원,M,남
2020,32766,Nonexempt,판매운영원,비대상,여
2020,30055,Executive,SKGC America대표,비대상,남
2020,38994,Manager,Aromatic담당,M,여
2020,32009,Manager,사업운영원,M,남
2020,32487,Manager,Process Engineer,P,남
2020,32495,Manager,Process Engineer,P,남
2020,31489,Nonexempt,판매운영원,비대상,여
2020,31836,Nonexempt,Packaging사업운영그룹리더,비대상,여
2020,32184,Nonexempt,판매운영원,비대상,여
2020,32284,Nonexempt,판매운영원,비대상,여
2020,32516,Nonexempt,판매운영원,비대상,여
2020,32517,Nonexempt,판매운영원,비대상,여
2020,32542,Nonexempt,판매운영원,비대상,여
2020,30051,Executive,Automotive사업부장,비대상,남
2020,31814,Manager,사업기획원,M,남
2020,31860,Manager,사업기획원,M,남
2020,31974,Manager,사업기획원,M,남
2020,32148,Manager,사업기획원,M,남
2020,32248,Manager,사업기획원,M,남
2020,32623,Manager,사업기획원,M,남
2020,32705,Exempt,사업기획원,M,남
2020,32249,Manager,OEM Solution Account Squad PO,M,남
2020,31359,Manager,Automotive판매원,M,남
2020,31688,Manager,Automotive판매원,M,남
2020,31753,Manager,Automotive영업 CL,M,남
2020,31995,Manager,Automotive판매원,M,남
2020,32143,Manager,추후부여,비대상,남
2020,32159,Manager,Automotive판매원,M,남
2020,32276,Exempt,Automotive판매원,M,남
2020,32301,Manager,Automotive판매원,M,남
2020,32335,Manager,Automotive판매원,M,남
2020,32609,Exempt,Automotive판매원,M,남
2020,31819,Nonexempt,판매운영원,비대상,여
2020,31831,Nonexempt,판매운영원,비대상,여
2020,32337,Nonexempt,판매운영원,비대상,여
2020,32546,Nonexempt,판매운영원,비대상,여
2020,32586,Nonexempt,판매운영원,비대상,여
2020,32699,Nonexempt,판매운영원,비대상,여
2020,31797,Manager,중국Automotive영업 PL,M,남
2020,31893,Exempt,Key Account Squad PO,M,남
2020,31285,Manager,시장개발원,M,남
2020,31917,Manager,Automotive시장개발 CL,M,남
2020,32010,Manager,시장개발원,M,남
2020,32131,Manager,시장개발원,M,남
2020,32543,Manager,시장개발원,M,여
2020,32773,Exempt,시장개발원,M,남
2020,32170,Manager,Polymer 판매원,M,남
2020,32253,Manager,PP Global Expansion Squad PO,S,남
2020,32567,Manager,CTO,R,남
2020,32636,Manager,CFO,S,남
2020,39072,Contractor,CTO Advisory,R,남
2020,31209,Nonexempt,Shipping,비대상,남
2020,31585,Manager,KNC 대표,S,남
2020,32506,Manager,Accounting,S,남
2020,32507,Manager,SHE,비대상,남
2020,32590,Manager,Production Mgmt.,P,남
2020,30068,Executive,Aromatic사업부장,비대상,남
2020,31608,Manager,추후부여,비대상,남
2020,31998,Manager,추후부여,비대상,여
2020,30048,Executive,화학생산본부장,비대상,남
2020,31072,Manager,추후부여,비대상,남
2020,31199,Manager,추후부여,비대상,남
2020,31201,Manager,추후부여,비대상,남
2020,31332,Nonexempt,추후부여,비대상,남
2020,31350,Nonexempt,추후부여,비대상,남
2020,31388,Nonexempt,추후부여,비대상,남
2020,31562,Nonexempt,추후부여,비대상,남
2020,31592,Nonexempt,추후부여,비대상,남
2020,31770,Nonexempt,추후부여,비대상,남
2020,31907,Nonexempt,추후부여,비대상,남
2020,31934,Manager,추후부여,비대상,남
2020,32082,Nonexempt,추후부여,비대상,남
2020,32125,Nonexempt,추후부여,비대상,남
2020,32770,Nonexempt,추후부여,비대상,남
2020,32771,Nonexempt,추후부여,비대상,남
2020,32772,Nonexempt,추후부여,비대상,남
2020,31085,Manager,생산관리원,비대상,남
2020,31144,Manager,생산관리원,비대상,남
2020,31152,Manager,생산관리원,비대상,남
2020,31676,Nonexempt,생산관리원,비대상,남
2020,31738,Nonexempt,생산관리원,비대상,남
2020,32368,Nonexempt,생산관리원,비대상,남
2020,32456,Manager,생산관리기사,P,남
2020,32462,Manager,생산관리기사,P,남
2020,32480,Exempt,생산관리기사,P,남
2020,32607,Exempt,생산관리기사,P,남
2020,32686,Exempt,생산관리기사,P,남
2020,31052,Manager,실험총반장,비대상,남
2020,31083,Manager,실험총반장,비대상,남
2020,31161,Nonexempt,실험원,비대상,남
2020,31162,Nonexempt,실험원,비대상,남
2020,31163,Nonexempt,실험원,비대상,남
2020,31238,Nonexempt,실험교관,비대상,남
2020,31267,Nonexempt,실험교대반장,비대상,남
2020,31268,Nonexempt,실험교대반장,비대상,남
2020,31269,Nonexempt,실험교대반장,비대상,남
2020,31270,Nonexempt,실험원,비대상,남
2020,31299,Nonexempt,실험원,비대상,남
2020,31300,Nonexempt,실험원,비대상,남
2020,31314,Nonexempt,실험원,비대상,남
2020,31316,Nonexempt,실험교대반장,비대상,남
2020,31354,Nonexempt,실험교대반장,비대상,남
2020,31355,Manager,실험교관,비대상,남
2020,31371,Nonexempt,실험교대반장,비대상,남
2020,31372,Nonexempt,실험원,비대상,남
2020,31373,Nonexempt,실험원,비대상,남
2020,31374,Nonexempt,실험교대반장,비대상,남
2020,31375,Nonexempt,실험교대반장,비대상,남
2020,31473,Nonexempt,실험원,비대상,남
2020,31487,Nonexempt,실험원,비대상,남
2020,31488,Nonexempt,실험원,비대상,남
2020,31503,Nonexempt,실험원,비대상,남
2020,31504,Nonexempt,실험원,비대상,남
2020,31505,Nonexempt,실험원,비대상,남
2020,31506,Nonexempt,실험원,비대상,남
2020,31513,Nonexempt,실험원,비대상,남
2020,31514,Nonexempt,실험원,비대상,남
2020,31515,Nonexempt,실험원,비대상,남
2020,31548,Nonexempt,실험원,비대상,남
2020,31552,Nonexempt,실험원,비대상,남
2020,31724,Nonexempt,실험원,비대상,남
2020,31764,Nonexempt,실험원,비대상,남
2020,31765,Nonexempt,실험원,비대상,남
2020,31778,Nonexempt,실험원,비대상,남
2020,31779,Nonexempt,실험원,비대상,남
2020,31786,Nonexempt,실험원,비대상,남
2020,31787,Nonexempt,실험원,비대상,남
2020,31788,Nonexempt,실험원,비대상,남
2020,32362,Nonexempt,실험원,비대상,남
2020,32363,Nonexempt,실험원,비대상,남
2020,32366,Nonexempt,실험원,비대상,남
2020,32369,Nonexempt,실험원,비대상,남
2020,32380,Nonexempt,실험원,비대상,남
2020,32434,Manager,품질관리 PL,P,남
2020,32716,Nonexempt,실험원,비대상,남
2020,31207,Nonexempt,장치운전원,비대상,남
2020,31208,Nonexempt,안전·환경·보건관리원,비대상,남
2020,32278,Manager,Polymer공장장,P,남
2020,31080,Nonexempt,Polymer기술원,비대상,남
2020,31149,Manager,Polymer기술원,비대상,남
2020,31232,Nonexempt,Polymer기술원,비대상,남
2020,31310,Nonexempt,Polymer기술원,비대상,남
2020,31517,Nonexempt,Polymer기술원,비대상,남
2020,32162,Manager,생산기술기사,P,남
2020,32287,Nonexempt,Polymer기술원,비대상,남
2020,32439,Manager,생산기술기사,P,남
2020,32486,Manager,생산기술기사,P,남
2020,32522,Manager,Packaging & Automotive Tech PL,P,남
2020,32530,Exempt,생산기술기사,P,여
2020,32532,Exempt,생산기술기사,P,남
2020,32535,Manager,생산기술기사,P,남
2020,32559,Exempt,생산기술기사,P,남
2020,32563,Exempt,생산기술기사,P,남
2020,32587,Manager,공정기술기사,P,남
2020,32588,Manager,생산기술기사,P,남
2020,32596,Exempt,생산기술기사,P,남
2020,32612,Exempt,생산기술기사,P,남
2020,32613,Exempt,생산기술기사,P,남
2020,32697,Exempt,생산기술기사,P,남
2020,32709,Exempt,생산기술기사,P,남
2020,32712,Manager,생산기술기사,P,남
2020,32754,Exempt,생산기술기사,P,여
2020,32755,Exempt,생산기술기사,P,남
2020,31133,Nonexempt,장치운전원,비대상,남
2020,31146,Nonexempt,장치운전원,비대상,남
2020,31160,Nonexempt,장치운전원,비대상,남
2020,31206,Nonexempt,HDPE교대반장,비대상,남
2020,31246,Nonexempt,LLDPE교대반장,비대상,남
2020,31247,Nonexempt,HDPE교대반장,비대상,남
2020,31248,Manager,HDPE총반장,비대상,남
2020,31249,Nonexempt,LLDPE교관,비대상,남
2020,31251,Nonexempt,장치운전원,비대상,남
2020,31252,Nonexempt,장치운전원,비대상,남
2020,31253,Nonexempt,HDPE교관,비대상,남
2020,31255,Nonexempt,LLDPE총반장,비대상,남
2020,31262,Nonexempt,장치운전원,비대상,남
2020,31348,Nonexempt,LLDPE교대반장,비대상,남
2020,31410,Nonexempt,장치운전원,비대상,남
2020,31412,Nonexempt,LLDPE교대반장,비대상,남
2020,31413,Nonexempt,장치운전원,비대상,남
2020,31414,Nonexempt,HDPE교대반장,비대상,남
2020,31423,Nonexempt,HDPE교대반장,비대상,남
2020,31425,Nonexempt,장치운전원,비대상,남
2020,31427,Nonexempt,장치운전원,비대상,남
2020,31440,Nonexempt,장치운전원,비대상,남
2020,31441,Nonexempt,LLDPE교대반장,비대상,남
2020,31549,Nonexempt,장치운전원,비대상,남
2020,31561,Nonexempt,장치운전원,비대상,남
2020,31663,Nonexempt,장치운전원,비대상,남
2020,31685,Nonexempt,장치운전원,비대상,남
2020,31686,Nonexempt,장치운전원,비대상,남
2020,31687,Nonexempt,장치운전원,비대상,남
2020,31707,Nonexempt,장치운전원,비대상,남
2020,31727,Nonexempt,장치운전원,비대상,남
2020,31730,Nonexempt,장치운전원,비대상,남
2020,31731,Nonexempt,장치운전원,비대상,남
2020,31732,Nonexempt,장치운전원,비대상,남
2020,31733,Nonexempt,장치운전원,비대상,남
2020,31768,Nonexempt,추후부여,비대상,남
2020,31769,Nonexempt,장치운전원,비대상,남
2020,31782,Nonexempt,장치운전원,비대상,남
2020,31784,Nonexempt,장치운전원,비대상,남
2020,31903,Nonexempt,장치운전원,비대상,남
2020,31904,Nonexempt,장치운전원,비대상,남
2020,31912,Nonexempt,장치운전원,비대상,남
2020,31913,Nonexempt,장치운전원,비대상,남
2020,31914,Nonexempt,장치운전원,비대상,남
2020,31916,Nonexempt,장치운전원,비대상,남
2020,31982,Nonexempt,장치운전원,비대상,남
2020,32129,Nonexempt,장치운전원,비대상,남
2020,32216,Nonexempt,장치운전원,비대상,남
2020,32219,Nonexempt,장치운전원,비대상,남
2020,32239,Nonexempt,장치운전원,비대상,남
2020,32240,Nonexempt,장치운전원,비대상,남
2020,32244,Nonexempt,장치운전원,비대상,남
2020,32310,Nonexempt,장치운전원,비대상,남
2020,32321,Nonexempt,장치운전원,비대상,남
2020,32325,Nonexempt,장치운전원,비대상,남
2020,32370,Nonexempt,장치운전원,비대상,남
2020,32381,Nonexempt,장치운전원,비대상,남
2020,32597,Nonexempt,장치운전원,비대상,남
2020,32671,Nonexempt,장치운전원,비대상,남
2020,32672,Nonexempt,장치운전원,비대상,남
2020,32741,Nonexempt,장치운전원,비대상,남
2020,32742,Nonexempt,장치운전원,비대상,남
2020,32747,Nonexempt,장치운전원,비대상,남
2020,31087,Nonexempt,장치운전원,비대상,남
2020,31094,Nonexempt,장치운전원,비대상,남
2020,31122,Nonexempt,PP총반장,비대상,남
2020,31241,Nonexempt,장치운전원,비대상,남
2020,31256,Nonexempt,PP교대반장,비대상,남
2020,31257,Nonexempt,PP교관,비대상,남
2020,31260,Nonexempt,장치운전원,비대상,남
2020,31273,Nonexempt,장치운전원,비대상,남
2020,31274,Nonexempt,장치운전원,비대상,남
2020,31301,Nonexempt,장치운전원,비대상,남
2020,31349,Nonexempt,PP교대반장,비대상,남
2020,31380,Nonexempt,장치운전원,비대상,남
2020,31387,Nonexempt,장치운전원,비대상,남
2020,31393,Nonexempt,장치운전원,비대상,남
2020,31424,Nonexempt,PP교대반장,비대상,남
2020,31426,Nonexempt,PP교대반장,비대상,남
2020,31430,Nonexempt,장치운전원,비대상,남
2020,31438,Nonexempt,장치운전원,비대상,남
2020,31439,Nonexempt,장치운전원,비대상,남
2020,31442,Nonexempt,장치운전원,비대상,남
2020,31465,Nonexempt,장치운전원,비대상,남
2020,31516,Nonexempt,장치운전원,비대상,남
2020,31574,Nonexempt,장치운전원,비대상,남
2020,31627,Nonexempt,장치운전원,비대상,남
2020,31628,Nonexempt,장치운전원,비대상,남
2020,31665,Nonexempt,장치운전원,비대상,남
2020,31667,Nonexempt,장치운전원,비대상,남
2020,31734,Nonexempt,장치운전원,비대상,남
2020,31737,Nonexempt,장치운전원,비대상,남
2020,31739,Nonexempt,장치운전원,비대상,남
2020,31740,Nonexempt,장치운전원,비대상,남
2020,31746,Manager,PP생산 PL,P,남
2020,31888,Nonexempt,장치운전원,비대상,남
2020,31899,Nonexempt,장치운전원,비대상,남
2020,32215,Nonexempt,장치운전원,비대상,남
2020,32224,Nonexempt,장치운전원,비대상,남
2020,32230,Nonexempt,장치운전원,비대상,남
2020,32237,Nonexempt,장치운전원,비대상,남
2020,32245,Nonexempt,장치운전원,비대상,남
2020,32306,Nonexempt,장치운전원,비대상,남
2020,32314,Nonexempt,장치운전원,비대상,남
2020,32673,Nonexempt,장치운전원,비대상,남
2020,32674,Nonexempt,장치운전원,비대상,남
2020,32744,Nonexempt,장치운전원,비대상,남
2020,32745,Nonexempt,장치운전원,비대상,남
2020,32746,Nonexempt,장치운전원,비대상,남
2020,31069,Manager,생산관리원,비대상,남
2020,31078,Nonexempt,물류운전원,비대상,남
2020,31140,Nonexempt,생산관리원,비대상,남
2020,31226,Nonexempt,물류운전원,비대상,남
